,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,set(), Folk/Acoustic,hip hop,Dance/Electronic, jazz, metal,pop,R&B,latin,country,Folk/Acoustic, Dance/Electronic,World/Traditional, R&B,metal, hip hop, blues, classical, pop, country, easy listening,easy listening, latin,rock, rock,cat,cluster
0,blink-182,All The Small Things,0.14567313132837212,0.0,1999,0.8876404494382022,0.3605200945626478,0.8919605973943439,0.0,0.7706295088447476,1.0,0.0463096960926194,0.010533813779943212,0.0,0.7101623571858088,0.6908760295218741,0.5881179060146388,"rock, pop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4444444444444444,1
1,Gigi D'Agostino,The Riddle,0.46457728225550055,0.0,1999,0.7191011235955056,0.7222222222222222,0.8697171909755322,0.5454545454545454,0.6741772902460716,0.0,0.024782923299565857,0.017706086021364354,0.0015431472081218274,0.06855081178592905,0.8416942988554925,0.4440901135037658,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
2,Dr. Dre,The Next Episode,0.13069250375862868,1.0,1999,0.9213483146067416,0.9373522458628842,0.9046711153479504,0.9090909090909091,0.8936159699575057,0.0,0.4464544138929089,0.028771877479556975,0.0,0.07708959711365002,0.2897636110813991,0.23387610056221494,hip hop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0
3,Da Brat,What'chu Like (feat. Tyrese),0.2914217046660883,1.0,2000,0.5955056179775281,0.8865248226950355,0.6631712742294249,0.9090909090909091,0.5713509240043482,0.0,0.3921852387843705,0.01739870292530345,0.0,0.05460012026458208,0.8331372339287624,0.2648973692585128,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,3
4,DMX,Party Up,0.4199587224434589,1.0,1999,0.797752808988764,0.45035460992907805,0.9279737315962293,1.0,0.8504792963731594,1.0,0.5857452966714906,0.07559656911283502,0.0,0.5754660252555622,0.526152529682319,0.9408945051447969,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1111111111111111,0
5,Britney Spears,Born to Make You Happy,0.3517025644894462,0.0,1999,0.651685393258427,0.5957446808510638,0.9184408431310243,1.0,0.7743848206344501,0.0,0.04015918958031839,0.11883512462540248,0.0004720812182741117,0.059530968129885745,0.6930152957535566,0.15972074891269758,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,1
6,Avant,Separated,0.3842153761592473,0.0,2000,0.6179775280898876,0.7907801418439717,0.4502700985065141,0.0,0.7387093586322759,1.0,0.00795947901591896,0.25305907657199816,0.0,0.259170174383644,0.6470210717723821,0.31970669353983244,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,1
7,Jagged Edge,He Can't Love U,0.35310363037726394,0.0,2000,0.6179775280898876,0.6997635933806147,0.8273487977968436,0.7272727272727273,0.8173732582270975,0.0,0.3306801736613604,0.11473668334459039,0.0,0.25676488274203246,0.5026206011338111,0.43929670096531237,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2222222222222222,3
8,LeAnn Rimes,Can't Fight The Moonlight,0.276187807493547,0.0,2001,0.7303370786516854,0.5898345153664303,0.8252303781379091,0.5454545454545454,0.7003162367822907,0.0,0.047937771345875554,0.41289828652366933,0.0,0.03547805171377029,0.6288373088030805,0.2509149252148085,"pop, country",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,1
9,P!nk,Most Girls,0.5010427163434336,0.0,2000,0.5842696629213483,0.7245862884160756,0.717190975532253,0.18181818181818182,0.7148927759660045,0.0,0.014290882778581768,0.04342380505846017,0.004527918781725889,0.09561034275405894,0.7015723606802866,0.25129282910788164,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
